Species,Binomial_name,Egg_length_min_um,Egg_length_max_um,Egg_length_avg_um,Egg_width_min_um,Egg_width_max_um,Egg_width_avg_um,Elongation_ratio,Egg_Description,membrane,Polar Prolongation?,Fibrils?,Int_habitat_terr?,Int_hist,Def_habitat_terr?,Def_host,Class,Order,Family
N. (N.) tenellus,Neoechinorhynchus tenellus,37,45,41,12,16,14,2.928571429,,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
N. (N.) tylosuri,Neoechinorhynchus tylosuri,30,42,36,15,19,17,2.117647059,oval or elliptic,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
N. cristatus,Neoechinoryhynchus cristatus,,,56,,,27,2.074074074,,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
N. aspinosus,Neorhadinorhynchus aspinosus,69,90,79.5,15,20,17.5,4.542857143,,,0,0,,,,,Palaeacanthocephala,Echinorhynchida ,Cavisomidae
O. macilentus,Octospinifer macilentus,30,47,38.5,15,18,16.5,2.333333333,-,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
O. torosus,Octospinifer torosus,32,41,36.5,16,19,17.5,2.085714286,,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
O. chandleri,Octospiniferoides chandleri,39,45,42,10,14,12,3.5,slender,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
O. spira,Oligacanthorhynchus spira,,,71,46,50,48,1.4791,,,,,,,,,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
O. taenioides,Oligacanthorhynchus taenioides,71,78,74.5,56,63,59.5,1.2521,,,,,,,,,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae
O. teliger,Owilfordia teliger,53,59,56,20,27,23.5,2.382978723,,,0,0,,,,,Palaeacanthocephala,Polymorphida,Plagiorhynchidae
P. (P.) cholodkowskyi,Pallisentis cholodkowskyi,33,35,34,19.8,23,21.4,1.588785047,oval,,0,0,,,,,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
P. (D.) ophiocephalus,Pallisentis ophiocephalus,,,30,,,10,3,,,0,0,,,,,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
P. panadei,Pallisentis panadei,80,100,90,40,49,44.5,2.02247191,elongated oval,,0,0,,,,,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
P. rexus,Pallisentis rexus,96,116,106,46,48,42,2.523809524,-,,0,0,,,,,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
P. (P.) umbellatus,Pallisentis umbellatus,76,88,82,24,30,27,3.037037037,,,0,0,,,,,Eoacanthocephala,Gyracanthocephala,Quadrigyridae
P. iracundus,Pandosentis iracundus,22,28,25,,,11,2.272727273,,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
P. chabanaudi,Paracanthocephaloides chabanaudi,37,40,38.5,12,15,13.5,2.851851852,elongated,,0,0,,,,,Palaeacanthocephala,Echinorhynchida ,Arthythmacanthidae
P. mugilis,Pararhadinorhynchus mugilis ,56,62,59,14,18,16,3.6875,,,0,0,,,,,Palaeacanthocephala,Echinorhynchida ,Diplosentidae
P. fractus,Paulisentis fractus,40,42,41,20,22,21,1.952380952,ovoid,,0,0,,,,,Eoacanthocephala,Neoechinorhynchida,Neoechonorhynchidae
